age,workclass,final_weight,education,Learning years,marital-status,occupation,relationship,sex,capital-gain,capital-loss,Workrate,native-country,label,Id,Difference
54,,155755,1,9,2,,3,1,4416,0,25,1,1,40,4416
49,1,143482,1,9,2,6,5,1,0,0,40,1,1,41,0
51,1,210940,1,9,1,4,1,2,0,2002,45,1,1,42,-2002
29,1,200515,2,10,1,2,1,2,0,0,38,1,1,43,0
31,1,156493,1,9,5,3,2,2,0,0,40,1,1,44,0
51,1,302146,6,7,5,6,3,1,0,0,40,1,1,45,0
24,5,314525,3,13,5,3,3,2,0,1741,45,1,1,46,-1741
26,1,236242,13,15,5,3,3,1,0,0,30,1,1,47,0
31,5,166626,1,9,1,8,1,2,0,0,40,1,0,48,0
22,1,388247,2,10,5,4,2,2,0,0,40,1,1,49,0
47,5,27067,1,9,2,8,3,1,0,0,40,1,1,50,0
21,1,307315,2,10,5,8,5,2,0,0,40,1,1,51,0
33,1,138142,2,10,6,6,5,1,0,0,25,1,1,52,0
21,1,265434,2,10,5,3,2,1,0,0,30,1,1,53,0
37,1,286026,1,9,1,3,1,2,0,0,40,1,0,54,0
59,1,176011,2,10,6,8,5,2,0,0,40,1,1,55,0
19,1,246652,2,10,5,4,2,1,0,0,40,1,1,56,0
44,4,120539,3,13,5,4,3,2,0,0,50,1,0,57,0
38,1,220585,1,9,1,5,1,2,0,0,55,1,0,58,0
66,1,117746,3,13,1,4,1,2,0,0,50,1,0,59,0
45,1,26522,2,10,1,8,4,1,0,1902,35,1,0,60,-1902
34,1,169527,2,10,1,4,4,1,4386,0,20,1,1,61,4386
39,1,484475,6,7,5,7,3,2,0,0,40,1,1,62,0
47,3,194360,1,9,1,6,4,1,0,0,7,1,0,63,0
43,1,74581,1,9,1,7,1,2,0,0,48,1,0,64,0
23,1,240049,7,1,5,6,3,1,0,0,40,Laos,1,65,0
31,1,202822,2,10,2,8,5,1,0,0,40,1,1,66,0
36,1,123983,3,13,1,3,1,2,0,0,55,Japan,0,67,0
46,4,236852,3,13,1,4,1,2,0,0,45,1,0,68,0
28,3,304960,11,12,5,8,3,1,0,1980,40,1,1,69,-1980
40,1,183404,2,10,6,6,5,1,0,0,8,1,1,70,0
43,1,220589,1,9,2,5,5,1,0,0,40,1,1,71,0
31,1,124827,1,9,5,6,3,2,0,0,40,1,1,72,0
53,1,169182,8,6,3,2,3,1,0,0,40,Columbia,1,73,0
43,6,117158,3,13,1,4,1,2,15024,0,60,1,0,74,15024
46,1,503923,1,9,1,2,1,2,4386,0,40,1,0,75,4386
37,3,48976,3,13,5,3,3,1,4865,0,45,1,1,76,4865
63,,170529,3,13,1,,4,1,0,0,45,1,1,77,0
42,1,165916,3,13,2,8,5,1,0,0,45,1,1,78,0
19,1,205829,1,9,5,4,2,1,0,0,35,1,1,79,0
45,1,246891,3,13,1,4,1,2,0,1902,40,1,0,80,-1902
45,1,274689,8,6,1,7,1,2,0,0,60,1,1,81,0
41,1,177905,4,14,1,3,1,2,0,0,45,1,0,82,0
54,,172991,1,9,1,,1,2,0,0,40,1,1,83,0
35,1,111128,8,6,5,8,2,2,0,0,40,1,1,84,0
18,,79990,6,7,5,,2,2,0,0,35,1,1,85,0
36,1,129263,1,9,4,6,3,1,0,0,40,1,1,86,0
35,1,148903,1,9,1,6,4,1,0,0,16,1,0,87,0
36,4,164526,4,14,5,4,3,2,10520,0,45,1,0,88,10520
25,1,180778,1,9,5,7,3,2,0,0,75,1,1,89,0
29,3,383745,2,10,1,12,1,2,0,1485,40,1,0,90,-1485
25,1,321205,3,13,5,5,3,2,4101,0,35,1,1,91,4101
22,1,134746,8,6,1,4,4,1,0,0,40,1,1,92,0
40,1,201495,6,7,5,11,2,2,0,0,35,1,1,93,0
19,1,272063,1,9,5,9,2,2,0,0,35,1,1,94,0
23,1,137214,1,9,1,4,1,2,0,0,37,1,1,95,0
47,1,205730,1,9,1,7,1,2,0,0,56,1,0,96,0
19,1,256979,1,9,5,7,6,2,0,0,35,1,1,97,0
21,1,50411,1,9,5,10,3,2,0,0,40,1,1,98,0
23,1,96635,2,10,5,2,2,2,0,0,30,1,1,99,0
42,3,121012,2,10,1,5,1,2,0,0,45,1,0,100,0
44,1,190532,4,14,5,3,3,1,0,0,55,1,1,101,0
20,1,390817,9,3,5,9,3,2,0,0,25,3,1,102,0
42,4,140474,11,12,2,7,2,2,0,0,35,1,1,103,0
22,6,269583,10,4,1,7,1,2,2580,0,40,1,1,104,2580
33,1,392812,2,10,1,9,1,2,0,0,50,1,0,105,0
35,4,108198,1,9,2,7,2,2,0,0,15,1,1,106,0
39,1,183898,11,12,1,7,1,2,7688,0,60,Germany,0,107,7688
23,1,209770,1,9,5,8,2,1,0,0,40,1,1,108,0
65,1,174056,10,4,1,2,1,2,0,0,40,1,1,109,0
38,3,107513,1,9,1,11,1,2,0,0,40,1,1,110,0
60,1,227266,1,9,2,4,3,1,0,0,33,1,1,111,0
51,1,146574,4,14,1,5,1,2,0,0,50,1,0,112,0
26,1,248990,6,7,1,8,1,2,0,0,40,1,0,113,0
47,5,55377,3,13,5,8,5,2,0,0,40,1,0,114,0
53,1,149217,1,9,1,7,1,2,0,0,40,Puerto-Rico,1,115,0
25,1,185952,4,14,5,3,3,2,0,0,30,1,1,116,0
19,1,344414,2,10,5,11,2,2,0,0,40,1,1,117,0
57,1,145189,2,10,5,8,3,1,0,0,40,1,1,118,0
33,1,113326,2,10,1,7,1,2,0,0,50,1,1,119,0
34,1,228873,3,13,5,5,2,2,0,0,40,1,1,120,0
40,5,298635,4,14,1,1,1,2,0,1902,40,Philippines,0,121,-1902
50,1,343847,1,9,1,12,1,2,0,0,38,1,0,122,0
43,1,298161,1,9,1,2,4,1,0,0,40,Nicaragua,1,123,0
19,1,560804,2,10,5,8,2,1,0,0,30,1,1,124,0
24,1,229826,1,9,5,4,3,2,0,0,30,1,1,125,0
53,1,88725,1,9,5,7,3,1,0,0,40,,1,126,0
40,1,202565,11,12,1,4,1,2,0,0,52,1,1,127,0
52,1,156953,1,9,1,9,1,2,0,0,40,1,0,128,0
31,1,231263,3,13,2,5,3,2,4650,0,45,1,1,129,4650
35,1,139364,1,9,1,4,1,2,0,1902,40,1,0,130,-1902
20,1,221661,1,9,1,8,4,1,0,0,40,3,1,131,0
38,1,278557,3,13,1,4,1,2,0,0,50,1,0,132,0
59,1,368005,6,7,1,7,1,2,0,0,40,1,1,133,0
21,1,145119,2,10,5,6,2,2,0,0,20,1,1,134,0
45,1,30289,14,8,1,7,1,2,0,0,40,1,1,135,0
24,1,200819,14,8,5,4,3,2,0,0,40,1,1,136,0
32,1,169589,5,11,1,9,1,2,0,0,40,1,0,137,0
39,3,149833,3,13,2,3,5,1,0,0,40,1,1,138,0
49,1,340755,4,14,1,4,1,2,0,0,40,1,0,139,0
36,1,20507,1,9,1,7,1,2,7688,0,50,1,0,140,7688
66,1,142501,1,9,5,6,6,1,0,0,3,1,1,141,0
57,1,136107,12,5,1,7,1,2,0,0,40,1,0,142,0
34,,177304,8,6,2,,3,2,0,0,40,Columbia,1,143,0
34,1,190385,4,14,5,3,3,1,0,0,40,1,0,144,0
36,3,357720,5,11,5,3,3,1,0,0,40,1,1,145,0
59,1,99131,4,14,4,5,3,1,0,0,40,1,0,146,0
46,1,203039,3,13,1,4,1,2,0,0,48,1,1,147,0
40,5,121012,3,13,1,8,1,2,7298,0,48,1,0,148,7298
73,,84390,5,11,3,,3,1,0,0,32,1,1,149,0
23,1,23037,14,8,5,9,2,2,0,0,40,1,1,150,0
30,2,361497,3,13,1,12,1,2,0,0,72,1,0,151,0
57,1,78707,1,9,5,8,2,1,0,0,40,1,1,152,0
56,1,179641,1,9,5,3,3,1,0,0,45,1,1,153,0
35,,195946,2,10,1,,1,2,0,0,40,Philippines,0,154,0
42,1,185057,1,9,6,8,5,1,0,0,35,Scotland,1,155,0
18,1,169652,6,7,5,6,2,1,0,0,12,1,1,156,0
35,4,31095,2,10,6,10,3,2,4101,0,60,1,1,157,4101
39,3,316582,4,14,5,3,3,1,0,0,55,1,1,158,0
52,1,75839,2,10,1,1,1,2,0,0,40,1,1,159,0
51,1,120270,5,11,1,4,1,2,0,0,40,1,0,160,0
29,1,82393,1,9,5,2,2,2,0,0,40,Germany,1,161,0
34,3,105540,3,13,1,3,1,2,0,2051,40,1,1,162,-2051
23,1,407684,12,5,5,2,6,1,0,0,40,3,1,163,0
36,1,173804,2,10,5,4,3,1,0,0,35,1,1,164,0
49,3,337768,4,14,1,5,1,2,0,0,50,1,0,165,0
42,1,147099,1,9,2,6,5,1,0,0,30,1,1,166,0
53,1,291755,5,11,1,7,1,2,0,0,40,1,1,167,0
25,1,338013,2,10,2,1,3,1,0,0,40,1,1,168,0
48,6,125892,2,10,1,4,1,2,0,0,38,1,0,169,0
41,6,60949,1,9,2,7,3,2,0,0,55,1,1,170,0
38,1,29702,3,13,1,5,1,2,0,0,45,1,0,171,0
22,1,341227,2,10,5,8,3,2,0,0,20,1,1,172,0
45,1,255348,2,10,2,5,3,1,0,0,40,1,1,173,0
33,1,202046,3,13,5,9,3,2,0,2001,40,1,1,174,-2001
40,1,99373,8,6,2,2,5,1,0,0,40,1,1,175,0
24,1,353696,2,10,5,6,2,2,0,0,20,2,1,176,0
32,4,210926,6,7,6,9,5,1,0,0,40,Nicaragua,1,177,0
39,1,230054,4,14,1,3,1,2,0,0,50,1,0,178,0
34,1,381153,1,9,1,5,1,2,0,0,40,1,0,179,0
20,1,203240,11,12,5,8,3,1,0,0,30,1,1,180,0
33,4,167476,6,7,2,9,3,2,0,0,7,1,1,181,0
25,1,200408,2,10,5,1,3,2,2174,0,40,1,1,182,2174
20,1,130959,2,10,5,6,2,2,0,0,20,1,1,183,0
40,5,544792,2,10,1,10,1,2,0,0,40,1,1,184,0
33,1,111567,4,14,1,5,1,2,0,1902,45,Germany,0,185,-1902
47,3,51579,2,10,1,12,1,2,0,0,50,1,1,186,0
50,1,108435,4,14,1,5,1,2,99999,0,60,1,0,187,99999
64,1,265661,1,9,1,11,1,2,0,0,40,1,1,188,0
43,1,477983,1,9,1,9,1,2,0,0,40,1,1,189,0
31,1,162572,1,9,5,6,2,2,0,0,16,1,1,190,0
36,1,150601,13,15,1,3,1,2,0,0,50,,1,191,0
43,4,180599,1,9,5,7,3,2,0,0,35,1,1,192,0
27,1,178709,4,14,5,2,3,1,0,0,40,1,1,193,0
29,1,37933,14,8,3,6,3,1,0,0,40,1,1,194,0
24,1,161092,2,10,1,8,1,2,7298,0,40,1,0,195,7298
58,1,225603,12,5,2,10,3,2,0,0,40,1,1,196,0
31,1,87891,2,10,1,8,1,2,0,0,40,1,1,197,0
41,1,277488,10,4,1,10,1,2,0,0,36,1,1,198,0
40,1,174515,1,9,4,2,5,1,0,0,40,1,1,199,0
28,1,208965,12,5,5,2,5,2,0,0,40,3,1,200,0
67,6,182581,2,10,1,5,1,2,20051,0,20,1,0,201,20051
45,1,256649,1,9,1,2,1,2,0,0,40,1,1,202,0
44,5,206553,5,11,2,1,3,2,0,0,40,1,1,203,0
62,5,125155,1,9,1,8,1,2,0,0,38,1,1,204,0
39,1,83893,1,9,1,8,1,2,0,0,40,1,0,205,0
25,1,104662,1,9,5,6,5,1,0,0,22,1,1,206,0
21,1,187643,1,9,6,6,3,1,0,0,40,1,1,207,0
62,,123612,3,13,1,,1,2,0,0,4,1,1,208,0
48,1,202467,3,13,1,3,1,2,0,1485,40,1,0,209,-1485
25,1,295108,1,9,5,9,5,1,0,0,25,1,1,210,0
50,1,140516,1,9,1,12,1,2,0,0,40,1,0,211,0
32,1,157747,2,10,1,3,1,2,0,0,40,1,1,212,0
50,1,209464,1,9,6,6,5,1,0,0,35,1,1,213,0
26,1,133756,1,9,2,10,3,2,0,0,40,Philippines,1,214,0
51,3,168539,3,13,1,5,1,2,0,0,50,1,0,215,0
49,6,201498,1,9,1,7,1,2,0,0,40,1,1,216,0
45,2,127089,4,14,2,5,3,2,0,0,45,1,1,217,0
51,4,306784,1,9,1,5,1,2,0,0,30,1,1,218,0
45,3,311080,2,10,1,8,1,2,0,0,40,1,0,219,0
50,4,146603,13,15,1,3,1,2,0,0,40,1,0,220,0
21,,278391,2,10,5,,2,2,0,0,16,1,1,221,0
32,1,136480,3,13,1,4,1,2,0,0,60,1,0,222,0
22,1,180060,3,13,5,5,5,2,0,0,40,1,1,223,0
17,4,368700,6,7,5,10,2,2,0,0,10,1,1,224,0
45,1,99385,1,9,2,8,3,1,0,0,40,2,1,225,0
41,1,69333,1,9,1,7,1,2,0,0,45,1,0,226,0
58,1,103540,10,4,1,11,1,2,0,0,40,1,1,227,0
26,1,124111,11,12,5,3,3,1,0,0,36,1,1,228,0
42,4,303044,1,9,1,10,1,2,0,0,40,Cambodia,0,229,0
55,4,157486,4,14,1,3,1,2,7298,0,40,1,0,230,7298
65,,105017,3,13,1,,1,2,0,0,40,1,1,231,0
70,6,232871,2,10,1,5,1,2,0,0,30,1,1,232,0
57,1,173832,3,13,1,4,1,2,0,1902,40,1,0,233,-1902
63,,149698,2,10,1,,1,2,0,0,15,1,1,234,0
34,1,77271,1,9,5,5,5,1,0,0,20,England,1,235,0
55,1,141727,3,13,1,8,4,1,3464,0,40,1,1,236,3464
47,1,73064,10,4,1,2,4,1,0,0,35,1,1,237,0
48,1,168283,2,10,1,11,1,2,0,0,45,1,0,238,0
51,1,101722,10,4,1,5,1,2,3908,0,47,1,1,239,3908
60,4,52900,1,9,1,7,1,2,0,0,42,1,0,240,0
52,1,318975,1,9,2,8,5,1,0,0,40,Cuba,1,241,0
38,1,48093,1,9,1,9,1,2,0,0,40,1,1,242,0
31,1,148600,1,9,1,2,1,2,0,0,40,1,1,243,0
27,1,132963,1,9,1,9,1,2,0,0,40,1,1,244,0
54,3,238257,3,13,5,3,3,2,0,0,50,1,1,245,0
51,1,200576,2,10,2,8,3,1,0,0,63,1,1,246,0
38,1,40319,2,10,2,5,3,1,0,0,42,1,1,247,0
46,1,178829,4,14,3,5,3,2,0,0,70,1,0,248,0
53,1,102615,6,7,2,11,3,2,0,0,40,2,1,249,0
24,1,183410,2,10,5,4,2,1,0,0,17,1,1,250,0
47,4,26145,5,11,1,4,1,2,0,0,40,1,0,251,0
34,1,34862,3,13,2,4,3,2,0,1564,60,1,0,252,-1564
41,1,34278,5,11,6,6,3,2,0,0,40,1,1,253,0
43,1,242488,2,10,1,8,1,2,5013,0,40,1,1,254,5013
52,1,256861,3,13,1,5,1,2,0,0,50,1,1,255,0
42,1,169628,2,10,2,8,3,1,0,0,38,1,1,256,0
49,1,165134,5,11,5,5,5,1,0,0,35,Columbia,1,257,0
19,1,264593,2,10,5,4,6,2,0,0,40,1,1,258,0
23,1,218343,11,12,5,4,2,1,0,0,40,1,1,259,0
28,1,189530,11,12,1,3,1,2,0,0,40,1,0,260,0
61,1,40269,2,10,1,4,1,2,0,0,40,1,0,261,0
34,1,203463,2,10,2,4,3,1,0,0,40,1,1,262,0
28,1,299422,10,4,1,9,1,2,0,0,40,3,1,263,0
33,2,174171,2,10,6,1,3,2,0,0,12,1,1,264,0
54,4,269068,13,15,1,3,1,2,99999,0,50,Philippines,0,265,99999
18,2,76142,6,7,5,6,2,2,0,0,8,1,1,266,0
52,1,150393,3,13,1,2,1,2,0,0,40,1,0,267,0
19,1,121240,1,9,5,6,3,2,0,0,30,1,1,268,0
23,3,247731,1,9,2,8,2,1,0,0,40,Cuba,1,269,0
45,1,738812,1,9,1,7,1,2,0,0,46,1,1,270,0
24,1,92609,3,13,5,5,2,2,0,0,45,1,1,271,0
53,1,167651,1,9,1,7,1,2,0,0,40,1,0,272,0
21,1,182117,2,10,5,6,2,2,0,0,15,1,1,273,0
35,1,187119,2,10,2,5,3,1,0,0,70,1,1,274,0
54,1,200098,3,13,2,4,3,1,0,0,60,1,1,275,0
20,,144685,2,10,5,,2,1,0,1602,40,Taiwan,1,276,-1602
31,,259120,2,10,1,,4,1,0,0,10,1,1,277,0
58,1,357788,1,9,1,7,1,2,0,0,40,1,1,278,0
47,4,158451,2,10,2,6,3,1,0,0,45,1,1,279,0
44,1,222596,1,9,2,1,3,2,0,0,50,1,0,280,0
20,1,105686,1,9,5,2,3,2,0,0,40,1,1,281,0
25,1,189590,3,13,5,1,3,2,0,0,40,1,1,282,0
61,1,51170,1,9,1,7,1,2,0,0,55,1,1,283,0
29,2,240738,1,9,1,7,1,2,0,0,40,1,0,284,0
22,5,100345,1,9,5,9,2,2,0,0,43,1,1,285,0
24,1,145111,1,9,5,2,3,2,0,0,45,1,1,286,0
41,1,165798,9,3,2,6,5,1,0,0,40,Puerto-Rico,1,287,0
41,3,248406,1,9,6,11,2,2,0,0,40,1,1,288,0
24,1,220944,2,10,1,7,1,2,0,0,60,1,1,289,0
40,6,218558,3,13,1,5,1,2,0,0,45,1,0,290,0
57,1,214061,1,9,2,8,3,1,0,0,40,1,1,291,0
29,1,190562,1,9,2,2,5,2,0,0,56,1,1,292,0
38,1,423616,5,11,1,1,4,1,0,0,36,1,0,293,0
39,1,136081,1,9,1,2,1,2,0,2051,40,1,1,294,-2051
37,1,360743,2,10,1,7,1,2,0,0,40,1,1,295,0
23,1,149396,1,9,5,8,2,1,0,0,40,1,1,296,0
45,2,312678,4,14,5,8,3,2,0,0,38,1,1,297,0
17,1,142964,6,7,5,6,2,2,0,0,20,1,1,298,0
48,4,32825,1,9,1,7,1,2,0,0,40,1,1,299,0
25,4,266668,1,9,5,3,3,2,0,0,40,1,1,300,0
44,4,195486,1,9,1,4,1,2,0,0,70,Jamaica,1,301,0
34,,93834,1,9,6,,2,1,0,0,8,1,1,302,0
45,4,271828,3,13,1,7,1,2,0,0,20,1,1,303,0
71,2,100063,1,9,1,7,1,2,0,0,40,1,1,304,0
57,4,175942,2,10,4,5,6,2,0,0,25,1,1,305,0
37,2,76767,13,15,1,3,4,1,0,0,39,1,0,306,0
30,1,207564,2,10,1,8,4,1,0,0,40,1,1,307,0
39,1,341741,7,1,5,6,3,1,0,0,12,1,1,308,0
55,3,115457,1,9,1,6,1,2,0,0,40,1,1,309,0
43,1,216042,2,10,2,1,2,1,0,1617,72,1,1,310,-1617
62,3,164518,1,9,4,8,3,1,0,0,38,1,1,311,0
50,5,32801,3,13,1,5,4,1,0,0,40,1,0,312,0
21,1,312017,2,10,5,7,3,2,0,0,40,1,1,313,0
42,5,198316,4,14,1,5,1,2,0,0,40,1,0,314,0
18,3,466325,6,7,5,8,2,2,0,0,12,1,1,315,0
23,1,53306,1,9,5,7,3,2,0,0,30,1,1,316,0
48,1,182566,3,13,1,4,1,2,0,0,40,1,0,317,0
60,4,27886,2,10,1,5,1,2,0,0,40,1,0,318,0
19,1,165306,2,10,5,1,6,2,0,0,40,Vietnam,1,319,0
47,3,183486,3,13,1,3,4,1,0,0,50,1,0,320,0
30,1,257849,10,4,1,7,1,2,0,0,48,1,1,321,0
36,1,261382,4,14,1,4,1,2,15024,0,45,1,0,322,15024
48,4,213140,10,4,1,7,1,2,0,0,40,Italy,1,323,0
72,3,144515,15,16,1,5,1,2,0,1258,40,1,1,324,-1258
19,1,269991,1,9,5,6,2,2,0,0,40,Puerto-Rico,1,325,0
29,4,85572,6,7,1,6,4,1,0,0,5,1,1,326,0
31,1,703107,1,9,5,2,3,2,0,0,40,1,1,327,0
34,4,319165,15,16,1,3,1,2,0,0,50,1,0,328,0
59,2,159472,12,5,1,11,1,2,0,0,40,1,1,329,0
58,1,218281,3,13,1,8,1,2,0,0,40,3,1,330,0
22,1,335453,1,9,5,8,3,1,0,0,60,1,1,331,0
64,1,270333,3,13,1,3,1,2,0,0,40,1,0,332,0
37,1,91711,3,13,1,5,1,2,0,0,60,1,0,333,0
59,1,214865,1,9,4,5,5,1,0,0,50,1,1,334,0
19,1,194608,2,10,5,6,2,1,0,0,20,1,1,335,0
31,4,156033,1,9,2,6,3,2,0,0,35,1,1,336,0
18,1,237646,2,10,5,8,2,2,0,0,30,1,1,337,0
42,1,282964,3,13,2,5,5,1,0,0,40,1,1,338,0
18,,139003,1,9,5,,6,1,0,0,12,1,1,339,0
38,3,289430,1,9,2,12,3,2,0,0,56,1,1,340,0
28,6,146042,1,9,1,7,1,2,0,0,50,1,1,341,0
56,1,133025,1,9,1,11,1,2,0,0,50,1,1,342,0
49,6,26502,3,13,2,3,5,2,6497,0,45,1,1,343,6497
19,1,209826,2,10,5,4,2,1,0,0,15,1,1,344,0
41,1,227644,1,9,1,11,1,2,0,0,50,1,1,345,0
27,4,153805,2,10,1,11,6,2,0,0,50,Ecuador,0,346,0
56,1,87584,1,9,4,6,5,1,0,0,40,1,1,347,0
45,1,53524,2,10,1,7,1,2,0,0,40,1,1,348,0
48,1,192791,1,9,1,2,1,2,0,0,40,1,1,349,0
29,1,186624,1,9,1,6,4,1,0,0,40,Cuba,1,350,0
58,1,210673,2,10,1,8,4,1,0,0,40,1,0,351,0
38,3,72338,1,9,1,12,1,2,0,0,54,1,0,352,0
40,,65545,4,14,2,,2,1,0,0,55,1,1,353,0
49,3,98738,1,9,1,7,1,2,0,0,40,1,0,354,0
45,1,144579,3,13,1,3,1,2,0,0,40,1,0,355,0
47,1,169549,1,9,1,7,1,2,0,0,40,1,0,356,0
24,1,140001,1,9,5,4,2,2,0,0,35,El-Salvador,1,357,0
27,1,146460,2,10,5,2,3,1,0,0,40,1,1,358,0
44,3,387770,2,10,4,8,5,1,0,0,15,1,1,359,0
32,1,199416,3,13,1,3,1,2,0,0,40,1,1,360,0
20,1,113200,2,10,5,9,2,1,0,0,6,1,1,361,0
57,6,199768,1,9,1,4,1,2,0,1902,30,1,0,362,-1902
25,1,108658,1,9,5,5,3,2,0,0,45,1,1,363,0
20,5,55233,2,10,5,8,6,1,0,0,40,1,1,364,0
49,4,59612,8,6,2,10,5,2,0,0,70,1,1,365,0
41,3,184466,4,14,1,3,1,2,0,0,38,1,0,366,0
68,1,223851,1,9,1,8,1,2,0,0,24,1,1,367,0
45,3,189890,1,9,5,8,5,1,0,0,40,1,1,368,0
26,1,68001,4,14,5,3,3,1,0,0,40,1,1,369,0
44,1,300528,6,7,1,8,1,2,0,0,40,1,0,370,0
50,5,307555,3,13,2,3,3,2,0,0,60,1,0,371,0
48,1,118889,1,9,1,4,1,2,2885,0,15,1,1,372,2885
51,1,124963,3,13,1,4,1,2,0,0,40,1,0,373,0
66,3,362165,3,13,4,3,3,1,0,2206,25,1,1,374,-2206
36,1,220511,2,10,1,7,1,2,0,0,40,1,1,375,0
39,1,225504,4,14,5,3,3,2,0,0,40,1,1,376,0
24,1,216867,8,6,5,6,6,2,0,0,30,3,1,377,0
34,1,434463,3,13,5,2,3,1,0,0,39,1,1,378,0
17,1,207637,6,7,5,9,2,2,0,0,10,1,1,379,0
25,1,98281,14,8,5,9,5,2,0,0,43,1,1,380,0
40,,253370,1,9,1,,4,1,0,0,35,1,0,381,0
60,3,255711,3,13,4,3,5,1,0,0,60,1,0,382,0
30,1,84119,2,10,1,7,1,2,0,2051,40,1,1,383,-2051
43,4,144928,1,9,5,10,3,2,0,0,60,1,1,384,0
27,1,113054,1,9,6,2,3,2,0,0,43,1,1,385,0
37,1,147638,3,13,6,6,5,1,0,0,36,Philippines,1,386,0
24,1,72310,2,10,5,4,2,2,0,0,43,1,1,387,0
51,1,310774,13,15,1,3,1,2,0,0,50,1,0,388,0
49,1,218357,5,11,2,3,3,1,0,0,38,1,1,389,0
31,1,158545,1,9,1,8,4,1,0,0,27,1,1,390,0
51,1,162745,1,9,1,7,1,2,7298,0,50,1,0,391,7298
49,4,110457,2,10,1,7,1,2,0,0,50,1,0,392,0
21,1,235442,1,9,1,8,1,2,0,0,40,1,1,393,0
30,1,426431,4,14,5,3,3,2,10520,0,40,1,0,394,10520
30,1,179112,3,13,5,3,2,2,0,0,40,,1,395,0
25,1,191921,2,10,5,11,2,2,0,0,40,1,1,396,0
40,1,160369,4,14,1,5,1,2,0,2415,45,1,0,397,-2415
28,5,298661,3,13,5,1,3,1,0,0,40,1,1,398,0
24,1,424494,3,13,1,3,1,2,0,0,30,1,1,399,0
33,,177824,1,9,6,,5,1,0,0,40,1,1,400,0
65,1,344152,4,14,1,3,1,2,5556,0,50,1,0,401,5556
69,,476653,3,13,1,,1,2,0,0,20,1,1,402,0
26,3,30793,3,13,1,3,4,1,0,0,55,1,0,403,0
43,1,170525,3,13,2,3,3,1,14344,0,40,1,0,404,14344
17,,213055,6,7,5,,3,1,0,0,20,1,1,405,0
25,1,224361,1,9,5,6,3,2,0,0,40,1,1,406,0
53,1,120839,14,8,2,10,2,2,0,0,40,1,1,407,0
31,1,98639,3,13,5,1,3,2,0,0,40,1,1,408,0
50,3,100480,4,14,1,5,1,2,0,0,60,1,0,409,0
35,1,296478,2,10,1,4,1,2,0,0,40,1,1,410,0
27,1,258768,3,13,5,9,3,2,0,0,40,1,1,411,0
60,1,178312,1,9,1,4,1,2,7298,0,65,1,0,412,7298
30,6,292465,3,13,5,5,3,2,0,0,40,1,1,413,0
26,3,205570,1,9,1,7,1,2,0,0,40,1,1,414,0
